route_id,route_short_name,route_long_name,route_desc,route_type,route_url
2-10181,2,"",,3,
3-10181,3,"",,3,
4-10181,4,"",,3,
5-10181,5,"",,3,
6-10181,6,"",,3,
7-10181,7,"",,3,
8-10181,8,"",,3,
9-10181,9,"",,3,
10-10181,10,"",,3,
11-10181,11,"",,3,
12-10181,12,"",,3,
13-10181,13,"",,3,
14-10181,14,"",,3,
15-10181,15,"",,3,
16-10181,16,"",,3,
17-10181,17,"",,3,
18-10181,18,"",,3,
19-10181,19,"",,3,
21-10181,21,"",,3,
22-10181,22,"",,3,
23-10181,23,"",,3,
24-10181,24,"",,3,
25-10181,25,"",,3,
26-10181,26,"",,3,
27-10181,27,"",,3,
28-10181,28,"",,3,
30-10181,30,"",,3,
31-10181,31,"",,3,
39-10181,39,"",,3,
43-10181,43,"",,3,
44-10181,44,"",,3,
45-10181,45,"",,3,
50-10181,50,"",,3,
51-10181,51,"",,3,
52-10181,52,"",,3,
55-10181,55,"",,3,
56-10181,56,"",,3,
57-10181,57,"",,3,
58-10181,58,"",,3,
59-10181,59,"",,3,
60-10181,60,"",,3,
61-10181,61,"",,3,
62-10181,62,"",,3,
63-10181,63,"",,3,
64-10181,64,"",,3,
65-10181,65,"",,3,
66-10181,66,"",,3,
67-10181,67,"",,3,
71-10181,71,"",,3,
73-10181,73,"",,3,
74-10181,74,"",,3,
75-10181,75,"",,3,
76-10181,76,"",,3,
77-10181,77,"",,3,
80-10181,80,"",,3,
82-10181,82,"",,3,
88-10181,88,"",,3,
111-10181,111,"",,3,
160-10181,160,"",,3,
161-10181,161,"",,3,
162-10181,162,"",,3,
200-10181,200,"",,3,
225-10181,225,"",,3,
226-10181,226,"",,3,
227-10181,227,"",,3,
265-10181,265,"",,3,
267-10181,267,"",,3,
300-10181,300,"",,3,
312-10181,312,"",,3,
313-10181,313,"",,3,
314-10181,314,"",,3,
315-10181,315,"",,3,
318-10181,318,"",,3,
319-10181,319,"",,3,
701-10181,701,"",,3,
702-10181,702,"",,3,
703-10181,703,"",,3,
704-10181,704,"",,3,
705-10181,705,"",,3,
710-10181,710,"",,3,
720-10181,720,"",,3,
729-10181,729,"",,3,
732-10181,732,"",,3,
737-10181,737,"",,3,
749-10181,749,"",,3,
757-10181,757,"",,3,
768-10181,768,"",,3,
769-10181,769,"",,3,
770-10181,770,"",,3,
785-10181,785,"",,3,
786-10181,786,"",,3,
787-10181,787,"",,3,
788-10181,788,"",,3,
900-10181,900,"",,3,
902-10181,902,"",,3,
903-10181,903,"",,3,
904-10181,904,"",,3,
905-10181,905,"",,3,
906-10181,906,"",,3,
907-10181,907,"",,3,
912-10181,912,"",,3,
913-10181,913,"",,3,
914-10181,914,"",,3,
915-10181,915,"",,3,
921-10181,921,"",,3,
922-10181,922,"",,3,
923-10181,923,"",,3,
924-10181,924,"",,3,
925-10181,925,"",,3,
927-10181,927,"",,3,
930-10181,930,"",,3,
931-10181,931,"",,3,
932-10181,932,"",,3,
934-10181,934,"",,3,
935-10181,935,"",,3,
936-10181,936,"",,3,
937-10181,937,"",,3,
938-10181,938,"",,3,
939-10181,939,"",,3,
942-10181,942,"",,3,
951-10181,951,"",,3,
952-10181,952,"",,3,
955-10181,955,"",,3,
956-10181,956,"",,3,
958-10181,958,"",,3,
960-10181,960,"",,3,
961-10181,961,"",,3,
962-10181,962,"",,3,
964-10181,964,"",,3,
966-10181,966,"",,3,
967-10181,967,"",,3,
968-10181,968,"",,3,
980-10181,980,"",,3,
981-10181,981,"",,3,
982-10181,982,"",,3,
988-10181,988,"",,3,
