route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
7-10181,2012-COMBMAST-Weekday-01,15778438-2012-COMBMAST-Weekday-01,"South",1,3271041,70004
80-10181,2012-COMBMAST-Weekday-01,15778439-2012-COMBMAST-Weekday-01,"South",1,3271041,800003
66-10181,2012-COMBMAST-Weekday-01,15778440-2012-COMBMAST-Weekday-01,"South",1,3271041,660003
63-10181,2012-COMBMAST-Weekday-01,15778441-2012-COMBMAST-Weekday-01,"North",0,3271041,630001
26-10181,2012-COMBMAST-Weekday-01,15778442-2012-COMBMAST-Weekday-01,"South",1,3271041,260002
26-10181,2012-COMBMAST-Weekday-01,15778443-2012-COMBMAST-Weekday-01,"North",0,3271041,260001
314-10181,2012-COMBMAST-Weekday-01,15778444-2012-COMBMAST-Weekday-01,"South",1,3271293,3140002
314-10181,2012-COMBMAST-Weekday-01,15778445-2012-COMBMAST-Weekday-01,"North",0,3271293,3140001
300-10181,2012-COMBMAST-Weekday-01,15778446-2012-COMBMAST-Weekday-01,"North",0,3271040,3000002
59-10181,2012-COMBMAST-Weekday-01,15778447-2012-COMBMAST-Weekday-01,"South",1,3271040,590003
55-10181,2012-COMBMAST-Weekday-01,15778448-2012-COMBMAST-Weekday-01,"Counterclockwise",1,3271040,550001
51-10181,2012-COMBMAST-Weekday-01,15778449-2012-COMBMAST-Weekday-01,"South",1,3271039,510005
7-10181,2012-COMBMAST-Weekday-01,15778451-2012-COMBMAST-Weekday-01,"North",0,3271039,70001
3-10181,2012-COMBMAST-Weekday-01,15778452-2012-COMBMAST-Weekday-01,"South",1,3271168,30003
5-10181,2012-COMBMAST-Weekday-01,15778453-2012-COMBMAST-Weekday-01,"North",0,3271184,50001
8-10181,2012-COMBMAST-Weekday-01,15778455-2012-COMBMAST-Weekday-01,"South",1,3271184,80002
8-10181,2012-COMBMAST-Weekday-01,15778456-2012-COMBMAST-Weekday-01,"North",0,3271184,80001
8-10181,2012-COMBMAST-Weekday-01,15778457-2012-COMBMAST-Weekday-01,"South",1,3271184,80002
31-10181,2012-COMBMAST-Weekday-01,15778458-2012-COMBMAST-Weekday-01,"North",0,3271184,310001
21-10181,2012-COMBMAST-Weekday-01,15778459-2012-COMBMAST-Weekday-01,"Counterclockwise",1,3271090,210001
3-10181,2012-COMBMAST-Weekday-01,15778460-2012-COMBMAST-Weekday-01,"North",0,3271090,30002
16-10181,2012-COMBMAST-Weekday-01,15778461-2012-COMBMAST-Weekday-01,"South",1,3271168,160002
14-10181,2012-COMBMAST-Weekday-01,15778463-2012-COMBMAST-Weekday-01,"North",0,3271168,140001
16-10181,2012-COMBMAST-Weekday-01,15778466-2012-COMBMAST-Weekday-01,"South",1,3271168,160002
16-10181,2012-COMBMAST-Weekday-01,15778467-2012-COMBMAST-Weekday-01,"North",0,3271054,160001
16-10181,2012-COMBMAST-Weekday-01,15778468-2012-COMBMAST-Weekday-01,"South",1,3271054,160002
17-10181,2012-COMBMAST-Weekday-01,15778470-2012-COMBMAST-Weekday-01,"North",0,3271054,170001
17-10181,2012-COMBMAST-Weekday-01,15778471-2012-COMBMAST-Weekday-01,"South",1,3271054,170002
16-10181,2012-COMBMAST-Weekday-01,15778472-2012-COMBMAST-Weekday-01,"North",0,3271235,160001
44-10181,2012-COMBMAST-Weekday-01,15778473-2012-COMBMAST-Weekday-01,"South",1,3271235,440002
44-10181,2012-COMBMAST-Weekday-01,15778475-2012-COMBMAST-Weekday-01,"North",0,3271235,440001
16-10181,2012-COMBMAST-Weekday-01,15778476-2012-COMBMAST-Weekday-01,"South",1,3271235,160002
43-10181,2012-COMBMAST-Weekday-01,15778478-2012-COMBMAST-Weekday-01,"Counterclockwise",1,3271235,430001
757-10181,2012-COMBMAST-Weekday-01,15778479-2012-COMBMAST-Weekday-01,"North",0,3271167,7570001
8-10181,2012-COMBMAST-Weekday-01,15778482-2012-COMBMAST-Weekday-01,"South",1,3271167,80002
31-10181,2012-COMBMAST-Weekday-01,15778483-2012-COMBMAST-Weekday-01,"North",0,3271038,310001
30-10181,2012-COMBMAST-Weekday-01,15778484-2012-COMBMAST-Weekday-01,"South",1,3271038,300002
9-10181,2012-COMBMAST-Weekday-01,15778485-2012-COMBMAST-Weekday-01,"South",1,3271190,90003
9-10181,2012-COMBMAST-Weekday-01,15778486-2012-COMBMAST-Weekday-01,"North",0,3271190,90001
58-10181,2012-COMBMAST-Weekday-01,15778487-2012-COMBMAST-Weekday-01,"South",1,3271186,580004
30-10181,2012-COMBMAST-Weekday-01,15778488-2012-COMBMAST-Weekday-01,"South",1,3271038,300002
8-10181,2012-COMBMAST-Weekday-01,15778489-2012-COMBMAST-Weekday-01,"North",0,3271038,80001
8-10181,2012-COMBMAST-Weekday-01,15778490-2012-COMBMAST-Weekday-01,"South",1,3271038,80002
300-10181,2012-COMBMAST-Weekday-01,15778491-2012-COMBMAST-Weekday-01,"South",1,3271166,3000004
6-10181,2012-COMBMAST-Weekday-01,15778492-2012-COMBMAST-Weekday-01,"North",0,3271166,60001
16-10181,2012-COMBMAST-Weekday-01,15778493-2012-COMBMAST-Weekday-01,"North",0,3271220,160001
318-10181,2012-COMBMAST-Weekday-01,15778494-2012-COMBMAST-Weekday-01,"South",1,3271220,3180002
319-10181,2012-COMBMAST-Weekday-01,15778495-2012-COMBMAST-Weekday-01,"North",0,3271220,3190001
319-10181,2012-COMBMAST-Weekday-01,15778496-2012-COMBMAST-Weekday-01,"South",1,3271221,3190002
319-10181,2012-COMBMAST-Weekday-01,15778497-2012-COMBMAST-Weekday-01,"North",0,3271221,3190001
59-10181,2012-COMBMAST-Weekday-01,15778498-2012-COMBMAST-Weekday-01,"South",1,3271037,590004
56-10181,2012-COMBMAST-Weekday-01,15778499-2012-COMBMAST-Weekday-01,"North",0,3271037,560001
31-10181,2012-COMBMAST-Weekday-01,15778500-2012-COMBMAST-Weekday-01,"South",1,3270959,310003
39-10181,2012-COMBMAST-Weekday-01,15778501-2012-COMBMAST-Weekday-01,"South",1,3270959,390001
8-10181,2012-COMBMAST-Weekday-01,15778502-2012-COMBMAST-Weekday-01,"North",0,3271166,80001
8-10181,2012-COMBMAST-Weekday-01,15778503-2012-COMBMAST-Weekday-01,"South",1,3271166,80002
31-10181,2012-COMBMAST-Weekday-01,15778504-2012-COMBMAST-Weekday-01,"North",0,3271166,310001
74-10181,2012-COMBMAST-Weekday-01,15778505-2012-COMBMAST-Weekday-01,"Clockwise",0,3271282,740001
73-10181,2012-COMBMAST-Weekday-01,15778507-2012-COMBMAST-Weekday-01,"Counterclockwise",1,3271282,730001
10-10181,2012-COMBMAST-Weekday-01,15778508-2012-COMBMAST-Weekday-01,"South",1,3271165,100006
737-10181,2012-COMBMAST-Weekday-01,15778509-2012-COMBMAST-Weekday-01,"North",0,3271165,7370001
31-10181,2012-COMBMAST-Weekday-01,15778510-2012-COMBMAST-Weekday-01,"North",0,3271165,310001
200-10181,2012-COMBMAST-Weekday-01,15778511-2012-COMBMAST-Weekday-01,"South",1,3271295,2000002
200-10181,2012-COMBMAST-Weekday-01,15778512-2012-COMBMAST-Weekday-01,"North",0,3271295,2000001
200-10181,2012-COMBMAST-Weekday-01,15778513-2012-COMBMAST-Weekday-01,"South",1,3271317,2000002
10-10181,2012-COMBMAST-Weekday-01,15778514-2012-COMBMAST-Weekday-01,"South",1,3271036,100007
